,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'YouthBks'}),frozenset({'ChildBks'}),0.2475,0.423,0.165,0.6666666666666667,1.5760441292356189,0.060307500000000014,1.7310000000000003
1,frozenset({'ChildBks'}),frozenset({'YouthBks'}),0.423,0.2475,0.165,0.3900709219858156,1.5760441292356187,0.060307500000000014,1.23375
2,frozenset({'CookBks'}),frozenset({'ChildBks'}),0.431,0.423,0.256,0.5939675174013921,1.4041785281356787,0.073687,1.4210685714285713
3,frozenset({'ChildBks'}),frozenset({'CookBks'}),0.423,0.431,0.256,0.6052009456264775,1.4041785281356787,0.073687,1.4412395209580837
4,frozenset({'DoItYBks'}),frozenset({'ChildBks'}),0.282,0.423,0.184,0.6524822695035462,1.5425112754220949,0.06471400000000001,1.6603469387755103
5,frozenset({'ChildBks'}),frozenset({'DoItYBks'}),0.423,0.282,0.184,0.43498817966903075,1.542511275422095,0.06471400000000001,1.2707698744769873
6,frozenset({'ArtBks'}),frozenset({'ChildBks'}),0.241,0.423,0.1625,0.6742738589211619,1.5940280352746143,0.060557000000000014,1.7714267515923567
7,frozenset({'ChildBks'}),frozenset({'ArtBks'}),0.423,0.241,0.1625,0.38416075650118203,1.5940280352746143,0.060557000000000014,1.2324644913627638
8,frozenset({'GeogBks'}),frozenset({'ChildBks'}),0.276,0.423,0.195,0.7065217391304347,1.6702641587007914,0.078252,1.9660740740740734
9,frozenset({'ChildBks'}),frozenset({'GeogBks'}),0.423,0.276,0.195,0.4609929078014185,1.6702641587007916,0.078252,1.3432105263157896
10,frozenset({'CookBks'}),frozenset({'YouthBks'}),0.431,0.2475,0.162,0.37587006960556846,1.5186669479012866,0.0553275,1.2056784386617099
11,frozenset({'YouthBks'}),frozenset({'CookBks'}),0.2475,0.431,0.162,0.6545454545454545,1.5186669479012866,0.0553275,1.6471052631578946
12,frozenset({'DoItYBks'}),frozenset({'CookBks'}),0.282,0.431,0.1875,0.6648936170212767,1.5426766056178114,0.06595800000000002,1.6979682539682543
13,frozenset({'CookBks'}),frozenset({'DoItYBks'}),0.431,0.282,0.1875,0.43503480278422274,1.5426766056178114,0.06595800000000002,1.2708747433264889
14,frozenset({'CookBks'}),frozenset({'ArtBks'}),0.431,0.241,0.167,0.3874709976798144,1.6077634758498525,0.06312900000000002,1.239125
15,frozenset({'ArtBks'}),frozenset({'CookBks'}),0.241,0.431,0.167,0.6929460580912864,1.6077634758498525,0.06312900000000002,1.853094594594595
16,frozenset({'CookBks'}),frozenset({'GeogBks'}),0.431,0.276,0.1925,0.4466357308584687,1.6182454016611183,0.073544,1.3083605870020965
17,frozenset({'GeogBks'}),frozenset({'CookBks'}),0.276,0.431,0.1925,0.697463768115942,1.6182454016611183,0.073544,1.880766467065868
